districtName,regFee,project_cost,project_address,prmtr_com_reg_no,payment_status,payment_token,wfoid,projectCost,projectType,projectRegId,total_est_cost_of_proj,regNo,projectName,districtType,projOrgFDate,extDate,disposed_date,project_ack_no,startDate,endDate,hardcopysubmissionDate,pmtr_email_id,project_status,promoterName,approvedOn,promoterAddress
Ahmedabad,472482,6332300000,"F.P.No. 102/1, Sub Plot No.1, Nr. Aaryman Residency Kalhar Bungalow Road, Shilaj",ABB1420,Paid,PRCI4AFXK6845,14845,6332300000,Residential/Group Housing,17909,6332300000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10898/A1R/160923,Aranyam,Ahmedabad,2026-11-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/221011/013483,2022-09-16,2028-12-31,2022-09-29 16:58:19,rera.aranyam@gmail.com,New,AARYAN BUILD PROJECTS LLP,2022-11-11,"406, Aaryan Work Space, Opp. G-B-C-1, Nr. Somlalit College, St. Xaviers Road, Navrangpura"
Gandhinagar,585136,5892230000,"Dharohar, Moje Khoraj TP Scheme No. 63",ABC2309,Paid,PRCNWJE2F6512,16512,5892230000,Residential/Group Housing,19410,5892230000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA12236/310823,Dharohar,Gandhinagar,2029-03-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230720/015125,2023-04-26,2027-12-31,2023-07-13 16:09:31,dharohar@sheetalinfra.com,New,SHEETAL HOUSING DEVELOPMENT LLP,2023-08-31,"25, 4th Floor, Shukan Mall Nr. Rajasthan Hospital, Shahibaug"
Surat,701654,5781080000,"Rajhans Golf Link, Near GD Goenka International School, Vesu Canal Road, Vesu, Surat",U70102GJ2010PTC059951,SAVED,PRC4EFXAW7905,15943,5781080000,Residential/Group Housing,18905,5781080000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA11989/210623,RAJHANS GOLF LINK,Surat,2026-12-31 00:00:00, , ,PR/SURAT/SURAT CITY/GUJRERA/230429/014556,2023-04-22,2027-12-31,2023-04-26 15:42:31,rajhans.golflink@gmail.com,New,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,2023-06-21,"Rajhans Empire, Beside Le Meridien Hotel, Near Airport Dumas Road, Surat"
Surat,695779,5762900000,"T.P.S. NO: 26 (ABHVA), F.P. NO: 84 + 85/1 + 92 + 93 + 94, O.P. NO : 84 + 85/1 + 92 + 93 + 94 BLOCK NO.394,389,393+395/1+,395/2,396 AT : ABHVA, TA : MAJURA, DIST : SURAT ",GUJSR105602,Paid,PRCXWQ45D6536,14536,5762900000,Residential/Group Housing,17644,5762900000,PR/GJ/SURAT/CHORASI/SUDA/RAA10610/300822,AVADH ERCOLE,Surat,2025-09-30 00:00:00, , ,PR/SURAT/CHORASI/GUJRERA/220729/013175,2022-06-16,2028-12-31,2022-07-25 18:04:01,avadhercole@gmail.com,New,AVADH INFRABUILD,2022-08-30,"T.P.S. NO: 26 (ABHVA), F.P. NO: 84 + 85/1 + 92 + 93 + 94, O.P. NO : 84 + 85/1 + 92 + 93 + 94,  BLOCK NO.394,389,393+395/1+,395/2,396 AT : ABHVA, TA : MAJURA, DIST : SURAT"
Ahmedabad,352782,5485490000,"Ikebana, Beside courtyard marriott,  Sindhu Bhavan Road, Bodakdev,",U22190GJ1984PTC006776,SAVED,PRCBARPI67770,14688,7026670000,Residential/Group Housing,17770,7026670000,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA10949/191122,IKEBANA,Ahmedabad,2026-06-30 00:00:00, , ,PR/AHMEDABAD/DASKROI/GUJRERA/220920/013324,2022-06-17,2027-07-01,2022-09-05 12:11:10,galaikebana@galainfra.com,New,NEMI LANDMARKS PRIVATE LIMITED,2022-11-19,"9 Floor, gala Infrastructure, Safal Profitaire, Corporate Road Opp. Ramada Hotel, Prahalad nagar, "
Ahmedabad,448760,5373340000,"Bopal Cross Road,  S P Ring Road, Bopal",U45201GJ2004PTC044776,Paid,PRCDCIXN13136,1136,6015530000,Residential/Group Housing,1136,6015530000,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00340/EX1/200219,ISCON PLATINUM,Ahmedabad,2018-12-31 00:00:00,2019-12-31 00:00:00, ,PR/AHMEDABAD/DASKROI/AHMEDABAD TPO/170731/000936,2015-04-01,2019-12-31,2017-07-31 00:00:00,isconvoguerera2023@gmail.com,Ongoing,JP ISCON PRIVATE LIMITED,2017-10-05,"Iscon House, B/h. Rembrandt Building, Nr. K.P. Hoste, Opp. Associated Petrol Pump off C.G. Road, Ahmedabad"
Gandhinagar,589396,5280100000,BLOCK NO 25 BUILDING FOOTPRING 25D PIROJPUR,ABB4108,SAVED,PRCFFI0SB7965,16005,5280100000,Mixed Development,18965,5280100000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12149/170823,STELLA,Gandhinagar,2027-12-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230522/014629,2023-03-31,2028-03-30,2023-05-09 20:16:13,jayesh.pandya@bakeri.com,New,BAKERI RESIDENCES LLP,2023-08-17,2ND FLOOR SANSKRUT BUILDING BH OLD HIGH COURT ASHRAM ROAD
Ahmedabad,1200000,5132340000,"GODREJ GARDEN CITY, B/H NIRAM UNVIERSITY JAGATPUR ROAD",AAB3722,Paid,PRCVZWAY05026,14026,5132340000,Mixed Development,17207,5132340000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA10290/080622,CELESTE,Ahmedabad,2026-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/220407/012694,2022-04-25,2027-03-10,2022-03-28 18:51:18,nikitpatel@shreesiddhi.co.in,New,SHREE SIDDHI INFRABUILDCON LLP,2022-06-08,"D-1001, Ganesh Meridian, Opp. Amiraj Farm, New Gujarat High Court ,S.G.Highway,"
Ahmedabad,623736,5107200000,"SKYCITY, NEAR CLUB 07,S.P.RING ROAD BLOCK NOS.215,251,305,306, F.P NO. 21, TP SCHME NO .  1(SHELA)",AAB5357,Paid,PRCPQTT4H6719,14719,5107200000,Residential/Group Housing,17797,5107200000,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10889/111122,RIVIERA MAJESTICA,Ahmedabad,2024-12-31 00:00:00, , ,PR/AHMEDABAD/SANAND/GUJRERA/220908/013353,2022-01-01,2027-12-31,2022-09-02 21:28:22,rivierasprings.rera@gmail.com,New,SAFAL GOYAL REALTY LLP,2022-11-11,"GOYAL HOUSE, OPP KARNAVATI CLUB S G HIGHWAY"
Surat,595420,4885210000,"R.S. NO. 140 /p1 to p8 ,O.P.-3,F.P.NO.-3 , Notional Plot -A , T.P. Scheme -5 (Vesu - Bhimrad)  Canal Rd, Behind South Gujarat University, New Airport Road, Vesu",NOT APPLICABLE,Paid,PRCVEABNA3326,4326,5325080000,Residential/Group Housing,4326,5325080000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00654/EX1/090621,CELLESTIAL DREAMS,Surat,2021-06-30 00:00:00,2022-06-29 00:00:00, ,PR/SURAT/SURAT CITY/SUDA/171012/003669,2012-06-26,2022-06-29,2017-10-12 13:33:52,drbravani@pradeepsinghi.com,Ongoing,DRB RAVANI DEVELOPERS,2017-11-09,"R.S.NO.140/p1 to p8 , O.P.-3,F.P. NO.-3 , Notional Plot-A, T.P.Scheme - 5 (Vesu - Bhimrad) Canal Road, New Airport Rd, Behind South Gujarat University , Vesu"
Ahmedabad,1124740,4870390000,"B/H, TRP, Opp. Bhavya Park BRTS Bus Stop Central Bopal",AAS8781,Paid,PRCRKNL2G5868,12868,4870390000,Mixed Development,12868,4870390000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09171/111021,Rajyash Regius,Ahmedabad,2026-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210920/011588,2021-06-04,2026-12-31,2021-09-08 12:53:39,rera.rajyashregius@gmail.com,New,RAJYASH PROCON LLP,2021-10-11,"305-405, Mauryansh Elanza, Nr. Parikh Hospital Shyamal Cross Road, Satellite"
Ahmedabad,506790,4837370000,"SHALIGRAM PRIME, Marigold Circle, Safal Parisar Road South Bopal, Ahmedabad ",AAN8853,Paid,PRCCBI5UA4036,9036,4837370000,Mixed Development,9036,4837370000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06127/A2M/281021,SHALIGRAM PRIME,Ahmedabad,2025-08-28 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/190909/008057,2019-08-23,2025-08-28,2019-09-03 13:06:03,legal@shaligrambuildcon.com,New,SHALIGRAM PROPERTIES LLP,2019-09-30,"9th Floor, Shaligram CorporatesB/HDishman House Opp. Sankalp Grace-II , Bopal Ambli Road,, Ambli, Ahmedabad"
Ahmedabad,398596,4790430000,"THE BELLAGIO, OPP JAY AMBE HOTEL  NR. ISCON CROSS ROAD, AHMEDABAD",ABA2350,Paid,PRC40P2676957,15957,4790430000,Residential/Group Housing,18919,4790430000,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA11972/190623,THE BELLAGIO,Ahmedabad,2023-12-31 00:00:00, , ,PR/AHMEDABAD/DASKROI/GUJRERA/230522/014570,2023-04-11,2029-03-31,2023-05-13 11:58:53,aumshreyarealty@gmail.com,New,AUM SHREYA REALTY LLP,2023-06-19,"416 Palak Prime, Opp Double tree by Hilton Iscon Ambli Road, Ahmedabad"
Ahmedabad,63080,4600000000,Opp Antrix Colony BRTS Bus Stop ISCON Ambli Road ,AAF5574,Paid,PRCFMQ1F83997,6997,4600000000,Residential/Group Housing,6997,4600000000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03638/A2R/240122,THE NORTH,Ahmedabad,2024-02-29 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180914/006076,2018-09-01,2024-02-29,2018-09-14 13:30:31,bsthenorth@gmail.com,New,TRUE VALUE BUILDSPACE LLP,2018-10-09,True Value House Opp Sundervan Bus Stand Near ISRO Satellite
Ahmedabad,2798010,4498020000,"Applewoods Villas, Applewoods Township, Shantipura Cross Road Sardar Patel Ring Road",U45201GJ2007PTC052343,SAVED,PRCQ0X8K27728,728,4598020000,Residential/Group Housing,728,4598020000,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00482/A1R/240120,APPLEWOODS VILLAS,Ahmedabad,2029-02-01 00:00:00, , ,PR/AHMEDABAD/SANAND/AUDA/170731/000923,2012-06-02,2029-02-01,2017-07-31 00:00:00,custinfo@applewoods.co.in,Ongoing,APPLEWOODS ESTATE PRIVATE LIMITED,2017-10-17,"Block No. 16, Abhishree Corporate Park,  Opp. Swagat Bungalows BRTS Stop, Iscon–Ambli Road, "
Surat,295120,4492300000,"TP-29,FP-80,UNIVERSITY-AIRPORT ROAD, B/H-LALBHAI STADIUM,  NEAR RAHULRAJ MALL, VESU, SURAT.",GUJSRT172137,Paid,PRCDESEI13031,1031,4118870000,Residential/Group Housing,1031,4118870000,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00206/210917,HAPPY EXCELENCIA,Surat,2018-12-29 00:00:00, , ,PR/SURAT/SURAT CITY/SURAT TPO/170730/000796,2016-03-17,2018-12-29,2017-07-30 00:00:00,happyexcelencia@sutarwala.in,Ongoing,HAPPY HOME CORPORATION,2017-09-21,"Shantiniketan, 1st Floor, Near S.D.Jain School,  University Airport Road, Vesu Cross Road"
Ahmedabad,320062,4475610000,"MARUTI 360, OPP WIDE ANGLE BODAKDEV",GUJAH102398,Paid,PRCQ77BY76034,16034,4475610000,Residential/Group Housing,18991,4475610000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12039/280623,MARUTI 360,Ahmedabad,2026-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230522/014649,2023-04-11,2028-12-31,2023-05-06 17:11:08,accounts2@marutibuildcon.com,New,ANJNEY FINEBUILD,2023-06-28,"1101 11TH FLOOR, ELANZA VERTEX NR ZAINOBIYA, SINDHU BHAVAN ROAD"
Ahmedabad,232570,4435600000,"SHILP- SHALIGRAM , NEAR AHMEDABAD -1  MALL, OPP :- SHABARI BUNGLOWS,",AAK5464,Paid,PRC4HIG8G3342,7342,4435600000,Residential/Group Housing,7342,4435600000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04413/A2R/261221,SHILP- SHALIGRAM,Ahmedabad,2022-12-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/181123/006405,2018-11-01,2022-12-30,2018-11-23 17:25:19,account@shilp.co.in,New,AAHNA BUILDSPACE - LLP,2018-12-19,"204-A, SHILP-3, NEAR MANN PARTY PLOT BODKEDEV, AHMEDABAD"
Ahmedabad,247175,4374960000,AMBLI ROAD OPPOSITE DISHMAN HOUSE JAYANTILAL PARK BRTS,AAF2532,Paid,PRCX4S0OR3857,5857,5324960000,Commercial,5857,5324960000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02348/120418,NAVRATNA CORPORATE PARK (NCP),Ahmedabad,2023-03-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/AUDA/180329/005000,2018-03-22,2023-03-30,2018-03-29 21:31:32,rerancp@navratna.com,New,NAVRATNA BUILDSPACE LLP,2018-04-12,"NAVRATNA HOUSE, NAVRATNA BUSINESS PARK,  OPPOSITE ARMIEDA SPA, SINDHU BHAWAN ROAD, "
Ahmedabad,961840,4294440000,"SHILP RESIDENCY B/H OLIVE GREENS, NR. GOTA CROSS ROADS, GOTA",ABA5200,Paid,PRCXP8WCP6092,15092,4291940000,Mixed Development,18120,4291940000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11096/291222,SHILP RESIDENCY,Ahmedabad,2025-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/221118/013722,2022-10-20,2027-06-30,2022-11-15 19:51:36,rera.shilpnorthsky@gmail.com,New,SHILP INFRAPROJECTS LLP,2022-12-29,"SHILP HOUSE, SUR NO 220/ 2/4, F P 304/3, TP 50 RAJPATH CLUB, RAJPATH RANGOLI ROAD, BODAKDEV"
Gandhinagar,261641,4249740000,"Shivalik Skyview,Plot no.16D,Block 16 Zone 1,GIFT-SEZ,GIFT city,Gandhinagar",AAG1818,Paid,PRCZXBHV16719,15719,4249740000,Residential/Group Housing,18696,4249740000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA11515/240323,Shivalik Skyview,Gandhinagar,2027-12-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/230320/014342,2023-03-14,2028-02-27,2023-03-16 19:01:41,mihir@shivalikgroup.com,New,SHIVALIK JHANVI INFRASPACE LLP,2023-03-24,"B/s Satellite police Station , Satellite , Ahmedabad Satellite "
Ahmedabad,930689,4240410000,"Olive Greens, Beside Vodafone Tower, Nr. Gota Bridge, S.G. Highway,",1,Paid,PRCB6ZPA35196,12196,4240410000,Mixed Development,12196,4240410000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08691/300621,OLIVE GREENS,Ahmedabad,2026-06-30 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210526/010979,2021-03-31,2026-06-30,2021-05-20 11:46:06,olivegreens.rera@gmail.com,New,GSG DEVELOPERS,2021-06-30,"10th Floor, Safal Profitaire, Corporate Road, Opp. AUDA Garden, Prahladnagar"
Gandhinagar,1111120,4152290000,"Block No.35 (building footprint 35B), Zone-3 in the Non-SEZ Area of GIFT City, in GIFT City, Gandhinagar, Gujarat",ABA5200,Paid,PRC72GP0P6043,17043,4152290000,Commercial,19680,4152290000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA12608/081123,SHILP CENTRICA,Gandhinagar,2028-03-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/231101/015647,2023-10-17,2029-12-31,2023-10-27 19:28:48,rera.shilpnorthsky@gmail.com,New,SHILP INFRAPROJECTS LLP,2023-11-08,"SHILP HOUSE, SUR NO 220/ 2/4, F P 304/3, TP 50 RAJPATH CLUB, RAJPATH RANGOLI ROAD, BODAKDEV"
Ahmedabad,438197,4075530000,"SHANTAMANI FARM, B/H STUDIO COMPLEX S G HIGH WAY, GOTA",ABA4167,Paid,PRC0C3QK66952,15952,4075530000,Residential/Group Housing,18914,4075530000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11845/240523,SUPER SHALIGRAM,Ahmedabad,2024-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230506/014565,2023-04-13,2029-03-31,2023-04-28 20:21:20,rera.supershaligram@gmail.com,New,SUPER SHALIGRAM LLP,2023-05-24,"4th Floor, Office No. 401 & 402, Shaligram,Corporates, B/H Dishman House, Ambli"
Ahmedabad,160095,3988930000,"AMBALI ROAD,NEAR ISCON TEMPLE,OFF S.G.HIGHWAY VIKRAM NAGAR ,AHMEDABAD",AAC2130,Paid,PRCYP0IB13788,788,3941580000,Mixed Development,788,3941580000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01158/301217,PAARIJAT ECLAT AND PRIVILON,Ahmedabad,2019-06-30 00:00:00, , ,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170729/000582,2014-08-20,2019-06-30,2017-07-29 00:00:00,yash.s@bsafal.com,Ongoing,SKZ DEVELOPERS LLP,2017-12-30,"B-81,PARISEEMA COMPLEX,C G ROAD ELLISBRIDGE"
Ahmedabad,228761,3972340000,"The Sovereign,  Near Thaltej-Shilaj Bridge, Thaltej",L99999GJ1982PLC005253,Paid,PRC37RILJ6732,16732,3976420000,Residential/Group Housing,19577,3976420000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12448/131023,The Sovereign,Ahmedabad,2027-12-31 00:00:00, , ,PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/230904/015347,2023-09-01,2029-08-31,2023-08-24 19:08:21,finance.re@ashima.in,New,ASHIMA LIMITED,2023-10-13,"Texcellence Complex Near Anupam Cinema, Khokhara,"
Gandhinagar,858478,3920120000,"Shivalik Curv, Block 37C GIFT City",U45201GJ2004PTC045025,Paid,PRCT5L23N6920,16920,3920120000,Commercial,19668,3920120000,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA12514/211023,Shivalik Curv,Gandhinagar,2025-12-31 00:00:00, , ,PR/GANDHINAGAR/GANDHINAGAR/GUJRERA/231010/015537,2023-09-28,2029-12-31,2023-10-05 20:53:41,rera.shivalikcurv@gmail.com,New,SHIVALIK DEVELOPERS PRIVATE LIMITED,2023-10-21,"Shivalik House, Besides Satellite Police Station Ramdevnagar Cross Road, Satellite"
Surat,614250,3852460000,"Moje: Parvat, Tal.: Surat City, District: Surat Block No. 65, 67, T.P. No. 19 (Parvat-Magob), O.P. No. 32/2, 373,    F.P. No. 47 + 49",GUJ/SRT/(17)/24405,Paid,PRCL1RTM13983,983,3852470000,Commercial,983,3852470000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA00100/070917,Raghuvir Scarlett,Surat,2022-06-30 00:00:00, , ,PR/SURAT/SURAT CITY/SUDA/170731/000762,2017-03-18,2022-06-30,2017-07-31 00:00:00,raghuvirsierra@gmail.com,Ongoing,RAGHUVIR DEVELOPERS & BUILDERS,2017-09-07,"RAGHUVIR HOUSE, UG 26, NARIMAN POINT SHOPPING CENTER NEAR MEGHNA PARK, CITYLIGHT ROAD"
Surat,1000000,3812160000,REVENUE SURVEY NO. 68+295 MOJE: UDHNA,U45201GJ2007PTC051275,Paid,PRC4MIY5L4319,5319,3812160000,Commercial,5319,3812160000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA05144/260319,MILLENNIUM TEXTILE MARKET - 4,Surat,2025-09-30 00:00:00, , ,PR/SURAT/SURAT CITY/SURAT TPO/190226/005101,2015-09-10,2025-09-30,2019-01-28 12:00:01,accounts@laxmideveloper.com,New,SHANTI RESIDENCES PRIVATE LIMITED,2019-03-26,"818, Millenium Textile Market-2, Behind Raghukul Textile Market, BRTS Canal Road,"
