projectAckNo,promoterType,projRegNo,promoterEmailId,formOneId,formTwoId,certificateId,projectType,certificateUid,projRegId,promoterId,approvedDate,promoterName,appSubmissionDate,projectName,formThreeId,wfoId
PR/SURAT/SURAT CITY/SUDA/170731/001190,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01804/010318,rera@greengroup.co.in,16191,18380,206938,Residential/Group Housing,39M6JA0XNCRMJ5Z3YYZL3UP4WSN1ZMGPN28IOF4LGX9FH35AFF,1068,1541,2018-01-03 00:00:00,RAJGREEN INFRASTRUCTURE,2017-07-31 00:00:00,"Poonyabhumi - A,B,C,F",248282,1068
PR/SURAT/SURAT CITY/SURAT TPO/170731/000887,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA00821/241117,accounts@globale.co.in,67024,73962,173904,Commercial,X89VEI5AN3F9Z031FSARPCVQ9N80NN1Z0V7S7ZJ5BEEV6VE7IE,1109,1588,2017-11-24 00:00:00,GLOBALE INFRASPACE LLP,2017-07-31 00:00:00,GLOBALE TEXTILE MARKET,243760,1109
PR/AHMEDABAD/DASKROI/AHMEDABAD TPO/170731/000936,COMPANY,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00340/EX1/200219,isconvoguerera2023@gmail.com,27033,31642,317227,Residential/Group Housing,TDSAZ2CACFT3SIK8A1OM38ORCWZR4INKYFWXEQ3WPGLDPXH8NZ,1136,17888,2017-05-10 00:00:00,JP ISCON PRIVATE LIMITED,2017-07-31 00:00:00,ISCON PLATINUM,267686,1136
PR/SURAT/SURAT CITY/SURAT TPO/170731/001090,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00205/210917,celebritygreen@sutarwala.in,8930,9841,105008,Residential/Group Housing,PLVI11FKLDDL2Z2ZU19FDM0NE26DOZQOG73MDZJX2SYYWTG01F,1332,1853,2017-09-21 00:00:00,HAPPY HOME CORPORATION,2017-07-31 00:00:00,CELEBRITY GREENS,239125,1332
PR/AHMEDABAD/AHMADABAD CITY/AUDA/170831/001750,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00169/A2R/EX1/170822,accounts@sheetalinfra.com,118363,119509,509395,Residential/Group Housing, ,2104,2886,2017-09-18 00:00:00,MAHIKA INFRA LLP,2017-08-31 00:00:00,Sheetal Westpark Residency,343337,2104
PR/VADODARA/VADODARA/VADODARA TPO/170830/001960,COMPANY,PR/GJ/VADODARA/VADODARA/Others/MAA00721/EX2/EX1/171022,shreebalaji.ashish49@gmail.com,118470,119616,596672,Mixed Development,OPBOQSOFXPD0HU4TMEU0ANJ9AY301M68NHWZDZ5SCNBWUW6OSQ,2396,3178,2017-11-15 00:00:00,MANAV INFRASTRUCTURE PRIVATE LIMITED,2017-08-30 00:00:00,AGORA CITY CENTER,343444,2396
PR/AHMEDABAD/AHMADABAD CITY/AUDA/170925/002743,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01449/300118,gajananconstruction99@gmail.com,25468,29742,198173,Mixed Development,FTNLNO23G1AL242XWPI4DF4Q7FMUQMBBB1NWMP2UWXEYZHCPNI,3352,4134,2018-01-30 00:00:00,SHREE RAM DEVELOPERS,2017-09-25 00:00:00,GAJANAN 189,245676,3352
PR/VADODARA/VADODARA/VADODARA TPO/170926/002788,PARTNERSHIP FIRM,PR/GJ/VADODARA/VADODARA/Others/MAA01471/010218,aksharpavilion@gmail.com,127068,128214,470400,Mixed Development,VH9GGHKSPXQ8BSICZ8USBCPOQF38N8XUQCVUC1GNGJ5HSBE13L,3404,6078,2018-01-02 00:00:00,AKSHAR PHC REALCON,2017-09-26 00:00:00,Akshar Pavilion,352042,3404
PR/AHMEDABAD/SANAND/AHMEDABAD TPO/170929/003280,COMPANY,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00986/EX4/A1R/260523,info@shantikrupa.com,130021,131163,873632,Residential/Group Housing, ,3925,4707,2017-12-12 00:00:00,SHANTIKRUPA ESTATES PRIVATE LIMITED,2017-09-29 00:00:00,THE OTHERSIDE,355080,3925
PR/SURAT/SURAT CITY/SUDA/170930/003276,COMPANY,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01590/A1C/190922,dmdauravesu1@gmail.com,174257,138831,764995,Commercial,MRYFEYCEMURJP0819XYGA0ZGH5HMCZ5HJXKR0NPIC7EW27ZK18,3943,17607,2018-09-02 00:00:00,DMD DEVELOPERS PRIVATE LIMITED,2017-09-30 00:00:00,Radha Raman Textile Market Phase 2,369876,3943
PR/AHMEDABAD/AHMADABAD CITY/AUDA/170929/003293,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00874/A1R/EX1/010621,accounts@cloud9infra.in,124318,125464,593838,Residential/Group Housing,770DN2JK407K04QUYG0N5AZXG7GJRZNGDP8THW5YJVUG7CRRMB,3961,14102,2017-11-30 00:00:00,CLOUD 9 INFRASPACE LLP,2017-09-29 00:00:00,Cloud 9,349292,3961
PR/SURAT/SURAT CITY/SUDA/170930/003447,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01291/A1C/EX1/290922,itfinfra05@gmail.com,119172,120318,470610,Commercial, ,4101,4883,2018-11-01 00:00:00,I T M INFRA,2017-09-30 00:00:00,INTERNATIONAL TEXTILE MARKET,344146,4101
PR/SURAT/SURAT CITY/SUDA/171012/003669,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00654/EX1/090621,drbravani@pradeepsinghi.com,124337,125483,596450,Residential/Group Housing,MND6VJWX6TCLJLW424NF58MAQ77B58BJGM2ACAN84GPIBN5Y8H,4326,5108,2017-09-11 00:00:00,DRB RAVANI DEVELOPERS,2017-10-12 13:33:52,CELLESTIAL DREAMS,349311,4326
PR/SURAT/SURAT CITY/SUDA/171027/003838,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA00853/EX3/EX2/130623,134pal@gmail.com,119367,120513,470715,Residential/Group Housing, ,4516,5298,2017-11-29 00:00:00,134 INFRA LLP,2017-10-27 18:30:07,CASA RIVERA,344341,4516
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/171031/003901,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01141/EX1/A1C/191220,isconcommercialrera2022@gmail.com,46450,52530,521438,Commercial,9EXPGS0G52HTYCKMX3O1F9Q66AUPB5TF479EBUT123QVRNHDXW,4578,16547,2017-12-29 00:00:00,ISCON COMMERCIAL COMPLEX PHASE-II,2017-10-31 18:27:39,ISCON COMMERCIAL COMPLEX,286573,4578
PR/SURAT/CHORASI/SUDA/171120/004029,PARTNERSHIP FIRM,PR/GJ/SURAT/CHORASI/SUDA/CAA03546/290918,admin@unitedcity.in,126657,127803,470781,Commercial,5C5GG7HCWRKTABP33TFP4UXSSSG1V6I3OHX5Z6LJ049OC8DUZ3,4750,5532,2018-09-29 00:00:00,RADHE BUILDSPACE LLP,2017-11-20 17:57:06,UNITED CITY,351631,4750
PR/SURAT/SURAT CITY/SUDA/171228/004305,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01393/EX2/A1R/200922,dminfrasurat@gmail.com,119690,120836,765171,Residential/Group Housing, ,5068,5850,2018-01-22 00:00:00,D & M INFRA,2017-12-28 16:17:30,ELYSIUM AVENUE		,344664,5068
PR/SURAT/SURAT CITY/SURAT TPO/190226/005101,COMPANY,PR/GJ/SURAT/SURAT CITY/SUDA/CAA05144/260319,accounts@laxmideveloper.com,174032,138525,470986,Commercial,1E82AUMBCSQX0PNWNT2E8VCV8N3882P67S8YFMBNCZZ3JQF45N,5319,6101,2019-03-26 00:00:00,SHANTI RESIDENCES PRIVATE LIMITED,2019-01-28 12:00:01,MILLENNIUM TEXTILE MARKET - 4,365660,5319
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180207/004581,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01884/060318,swatiprocon@gmail.com,51852,58015,471025,Mixed Development,HIV7NZMPR2FHN2UBARJT9A7W8MGLF1H0ATNJD7LRS8VWMSI4RG,5386,10883,2018-06-03 00:00:00,SWATISANDHYA PROCON LLP,2018-02-07 15:33:55,Swati Crimson and Clover,286848,5386
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180221/004690,COMPANY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02224/A1C/041120,rera@venusinfrastructure.com,115745,116891,509319,Commercial,YIGQTUTBQBP6U0OBS33PQDU3PGF07Q1X70RVXBNTUQMF1B1OOM,5477,6259,2018-02-04 00:00:00,Venus Infrastructure and Developers Private Limited,2018-02-21 18:57:00,Stratum @ Venus Ground,340719,5477
PR/SURAT/SURAT CITY/SUDA/180419/004902,COMPANY,PR/GJ/SURAT/SURAT CITY/SUDA/RAA03579/A2R/EX1/060521,rajhans.golflink@gmail.com,71387,78644,588872,Residential/Group Housing,L7SDDK62U0DV62C4EEK7RI2THZNHD6A5AQKRL82RZPXDWGFR2D,5764,17985,2018-04-10 00:00:00,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,2018-04-19 16:18:28,RAJHANS ROYALTON,293647,5764
PR/AHMEDABAD/AHMEDABAD CITY/AUDA/180329/005000,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02348/120418,rerancp@navratna.com,115768,116914,471212,Commercial,CNCD5SKDTAEHN60U0HZCSBBKMMPB1XFO3NKGYK46MDQFOV67SX,5857,6641,2018-12-04 00:00:00,NAVRATNA BUILDSPACE LLP,2018-03-29 21:31:32,NAVRATNA CORPORATE PARK (NCP),340742,5857
PR/SURAT/SURAT CITY/SURAT TPO/180601/005415,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA03028/280618,happybenchmark123@gmail.com,95715,96897,471432,Commercial,502173BPMRX6ZVILQVFVFYI8U1FSA0VTXKVB43SQ5S16SB8P5K,6304,7098,2018-06-28 00:00:00,HAPPY HOME CORPORATION,2018-06-01 17:36:04,HAPPY BENCHMARK TEXTILE HUB,320734,6304
PR/VADODARA/VADODARA/VADODARA TPO/180525/005441,PARTNERSHIP FIRM,PR/GJ/VADODARA/VADODARA/Others/MAA03213/EX1/031023,bellissimo3@nilambergroup.in,183629,141791,471442,Mixed Development, ,6326,7120,2018-07-21 00:00:00,OCTANE INFRA-SPACE,2018-05-25 20:27:40,NILAMBER BELLISSIMO III,370089,6326
PR/SURAT/SURAT CITY/SUDA/180602/005487,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02886/130618,orangecorporation1213@gmail.com,170039,138545,471469,Commercial,ZJA3S0E65QM3IDHQU3869P6NP8AKV8CDZVSDKX2FVQ25CR7EEY,6381,7175,2018-06-13 00:00:00,ORANGE CORPORATION,2018-06-02 14:27:55,AVADH RITURAJ TEXTILE HUB,365519,6381
PR/SURAT/SURAT CITY/SUDA/180814/005908,PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/CAA04304/A1C/200922,homeland@khuranabuildcomp.com,144838,133457,765159,Commercial,G51HPY5O7RVFAIS2QG8NCMBM0XKYXE6CXB6WMYTCJR7MGIG1YU,6832,7636,2018-11-12 00:00:00,SHREE KRISHNA CORPORATION,2018-08-14 17:32:05,HOME LAND CITY ,358407,6832
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180823/005996,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA03537/A3C/280721,accounts@theretailpark.in,115865,117011,613189,Commercial,DWXP35NUW5UG26EGB2F539X7UUKDBPB2D1KFEJO38O513HBR47,6915,8667,2018-09-29 00:00:00,R S PROCON,2018-08-23 13:10:48,The Retail Park,340839,6915
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/180914/006076,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03638/A2R/240122,bsthenorth@gmail.com,126733,127879,689420,Residential/Group Housing,Q15XBH2T8HK7727R0CB82QQSC8VIUDZ0O7FY1KJ6CAL5QJN7OU,6997,7805,2018-09-10 00:00:00,TRUE VALUE BUILDSPACE LLP,2018-09-14 13:30:31,THE NORTH,351707,6997
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/181123/006405,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04413/A2R/261221,account@shilp.co.in,115932,117078,668814,Residential/Group Housing,OU8MO3MXTZ9E10FW3DL26M75YY54VWKHKLYHXJ5FY7D31SY216,7342,8156,2018-12-19 00:00:00,AAHNA BUILDSPACE - LLP,2018-11-23 17:25:19,SHILP- SHALIGRAM,340906,7342
PR/SURAT/SURAT CITY/GANDHINAGAR TPO/190218/006803,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/SURAT/SURAT CITY/SUDA/RAA04942/A1R/310523,unitech@pradeepsinghi.com,180902,141145,875981,Residential/Group Housing,ETFMEWZAFQU104JLY9V9TQOHG4UA66O1DULLFK75KUH4P3W3QO,7747,8567,2019-02-28 00:00:00,AVANTIS UNITECH LLP,2019-02-09 15:38:06,OFIRA PEAK,369204,7747
PR/SURAT/SURAT CITY/SUDA/190311/006925,COMPANY,PR/GJ/SURAT/SURAT CITY/Others/CAA05247/A1C/EX1/260722,info@sdbbourse.com,121854,123000,573891,Commercial, ,7871,8692,2019-10-04 00:00:00,SDB DIAMOND BOURSE,2019-02-26 13:30:00,SURAT DIAMOND BOURSE,346828,7871
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/190424/007255,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05385/040519,drpatel_hc@yahoo.co.in,127737,128883,472825,Commercial,8302NLD0VHBBIH9PP5KDNH5XVBVXRSX096QJYFZONY0YIO3QK5,8202,9029,2019-04-05 00:00:00,SHAFALYA INFRALINK LLP,2019-04-17 18:45:42,ICONIC SHYAMAL,352711,8202
PR/AHMEDABAD/AHMEDABAD CITY/AUDA/190509/007361,COMPANY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05444/150519,aryangroupacc@gmail.com,97795,98977,472923,Commercial,SXFA1A3RM4X94TH9NWCFM3ZGH2YEPYDUDPQQTAVAHBUHYI3A9I,8318,11658,2019-05-15 00:00:00,AARYAN INFRA-BUILD PRIVATE LIMITED,2019-05-02 15:40:25,Solaris Business Hub,322814,8318
PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/190517/007410,PARTNERSHIP FIRM,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA05578/A1M/220222,swagatdevelopers.rera@gmail.com,98064,99246,699749,Mixed Development,TALYC514WB3NXUOF1NOGQP75JD3BXSUVJUF9IRLB54UBUAAE24,8369,8986,2019-06-19 00:00:00,SWAGAT DEVELOPERS,2019-05-10 12:48:39,SWAGAT TWINCITY HIGHSTREET,323083,8369
PR/AHMEDABAD/DASKROI/AHMEDABAD TPO/190521/007450,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA05553/140619,shivanishah@armaandevelopers.com,97997,99179,473001,Residential/Group Housing,X4Y9OEFVFD5RSLDMDEY1ZMGUKZ8YM73VSNEN5Z198BAC14R2RM,8407,9239,2019-06-14 00:00:00,ARMAAN INFRASTRUCTURE,2019-05-14 17:56:46,THE WATERFALL,323016,8407
PR/AHMEDABAD/AHMEDABAD CITY/GANDHINAGAR TPO/190718/007712,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA05932/A1M/090321,sainathbuildcon13@gmail.com,116229,117375,573884,Mixed Development,G601EIK6AUQBIZSD5RNHHA5TWA2GVACC03DVYG4QBMQ188J0LV,8675,9515,2019-08-23 00:00:00,SAINATH BUILDCON,2019-07-04 12:06:51,KARNAVATI APPARTMENT - 5,341203,8675
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/190802/007851,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05982/300819,timessquare03@gmail.com,143857,133436,473349,Commercial,SQK7RLADT8TJGJ9BO0F21RBUWBMNX1ROHKW5HTR9QXKRRUDQ9X,8831,9671,2019-08-30 00:00:00,SHREENATHJI INFRA SPACE LLP,2019-07-22 20:00:00,Times Square Grand,358381,8831
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/190909/008057,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA06127/A2M/281021,legal@shaligrambuildcon.com,99150,100332,644266,Mixed Development,PLRH8NSHUVVQZ65Q5M4B7QBM7EYB701AK8EMDO416X66D7CR9W,9036,9876,2019-09-30 00:00:00,SHALIGRAM PROPERTIES LLP,2019-09-03 13:06:03,SHALIGRAM PRIME,324169,9036
PR/GANDHINAGAR/GANDHINAGAR/AUDA/200102/008622,COMPANY,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA06788/A4R/161123,saurabh.shah@arvind.in,130950,101910,957601,Residential/Group Housing,IN4OQ7K37SPDY6J8J24VM4WCZWK89ZSEECEILF5C00BW6ZA1T0,9618,16738,2020-02-14 00:00:00,ARVIND LIMITED,2019-12-17 19:03:55,Forreste,325747,9618
PR/AHMEDABAD/SANAND/AUDA/200220/008911,COMPANY,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06968/060520,aravalli.rera@ratnaakar.com,130385,132033,474270,Residential/Group Housing,2C94V3RLP4C3SOGCAKX4FXVFDJLAVIWFZZ753NSBV97SXL4PCC,9930,10826,2020-06-05 00:00:00,Ratnaakar Infratech Private Limited,2020-02-10 13:25:15,Aravalli by Ratnaakar,358686,9930
PR/AHMEDABAD/AHMEDABAD CITY/AUDA/200225/008955,COMPANY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07053/280520,skyvillerera@gmail.com,101410,102592,474305,Residential/Group Housing,9I3E3KLZBUXG9EO4USD326F3AD12KIZJVG23PYKSI57AY2TSWD,9967,10864,2020-05-28 00:00:00, ,2020-02-19 20:30:34,SkyVille,326429,9967
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/200303/008967,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06978/A2R/310523,swatiprocon@gmail.com,116604,117750,875980,Residential/Group Housing,5PHX8VBKK7LK45EMBXI0VZYXZ0PG5EJ6VB164VNGFH1IA1K7JG,9983,10883,2020-11-05 00:00:00,SWATISANDHYA PROCON LLP,2020-02-21 17:01:44,Swati Parkside,341578,9983
PR/AHMEDABAD/AHMEDABAD CITY/GANDHINAGAR TPO/200505/009132,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA07151/A1M/240321,design@shivalikgroup.com,141186,133078,578024,Mixed Development,H5CY2ZRYLOUFMSPOL05BYV4X3Y7CZSG2SQKT47PZNU9YNK66WZ,10156,11059,2020-06-17 00:00:00,SHIVALIK PARAM STRUCTURES LLP,2020-05-02 21:46:27,SHIVALIK SHARDA HARMONY,358171,10156
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/201107/009850,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA07770/141220,sunatmosphere20@gmail.com,129664,131342,519384,Mixed Development,9AXXC7AEDGXG4H323FTGNMGJCSAYYJXYHM2GVR8JDPFFKZ99FO,10927,11858,2020-12-14 00:00:00,SUN REALTY,2020-11-02 11:58:29,Sun Atmosphere,358841,10927
PR/AHMEDABAD/SANAND/AHMEDABAD TPO/201217/010054,LIMITED LIABILITY PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA07874/050121,rera.shilpananta@gmail.com,104964,106144,570219,Mixed Development,QW5HUWTTR5TUZWHCJ4OTGMTPE5YIDBKUDFQ3IKBMOOQYIPRWB4,11124,12388,2021-05-01 00:00:00,AYB BUILDCON LLP,2020-12-08 16:26:10,SHILP REVANTA,329981,11124
PR/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD TPO/210112/010145,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA08108/A1C/220923,contactmoneyplant2@gmail.com,133633,107083,916213,Commercial,PYN7LT0IUWFA2WVR4M6RN09O2DO005LJY1RP5M33J3UHTGJBTD,11206,12159,2021-02-24 00:00:00,V SQUARE PROJECTS-JAGATPUR,2021-01-02 14:06:32,MONEY PLANT HIGH STREET,330920,11206
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210503/010806,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08616/140621,bhagwat.elysium@gmail.com,84081,85343,597537,Mixed Development,FWQ3OPJAATX0S54V6FESWFYVZNAY7NC4EYACEROF3TIVGRA7A8,12003,12984,2021-06-14 00:00:00,Shreenath Buildcon,2021-04-22 15:11:57,Bhagwat Elysium,309062,12003
PR/AHMEDABAD/AHMEDABAD CITY/GUJRERA/210525/010935,PARTNERSHIP FIRM,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08765/140721,malav@deepgroup1980.com,109022,110201,608040,Mixed Development,58I0XKDRZORUKOF9IQD64JVFMLIAYKZQKSG0H48T05P5JP5BAF,12143,13133,2021-07-14 00:00:00,DEEP BUILDERS,2021-05-07 17:56:40,Indraprasth Saptak,334038,12143
PR/SURAT/SURAT CITY/GUJRERA/210526/010952,COMPANY,PR/GJ/SURAT/SURAT CITY/SUDA/RAA08688/290621,rajhans.zoristta@gmail.com,169545,138813,602878,Residential/Group Housing,REYKC7JWBUGU63QVCZGHVQZ2TDVYYAJ6ZZ2D62N4JPNX1CIFQN,12168,17807,2021-06-29 00:00:00,RAJHANS NUTRIMENTS PRIVATE LIMITED,2021-05-08 20:13:18,RAJHANS CREMONA,366893,12168
